id_version,n_classes,m_c_BC
b58bede871533dcea840d3dbcf3dce4079c26607,1015,0.036324784
f8945c08d9d45abf5f97465c926c414040a6c661,1005,0.03394581
125a7559e7c00ae128f2064c017646e81897f2e3,1004,0.03409091
d8233e0ba4bfcbfec636e3cdd4e47df737c70c8d,990,0.036509799
b292d9955b0e92b4a7308cb227ce5f9b4c52f5cf,936,0.034754585000000005
d7c14e5434233c4fd56d5b249ae1acf32fd95602,1010,0.034371891
303960500c5436847bd747b1a8f732bcf0724b77,955,0.034454692
37091ada7f58145bf4f1333717d013aaa09585e5,913,0.035546876
9840b67b300a8db6f8333f1336d5442f4e1ede88,936,0.034754585000000005
91a0bcabcdb0c24da97a0c33862e2151717a158b,1003,0.03409091
621028ce1e28ea9827a067495b8aea6f18b07592,1010,0.03409091
d62ea9a1ad513731be6a0d97d8c79f3c72badc9b,960,0.034791495000000006
11c2b6d674d00268c315337e87633547d704a86b,920,0.034957333
a3e9293e2ec066a5d34735ae74c7a443cb365840,903,0.03638889
b6dc03a078043021dd4b7856d5d4ec44dde418d9,1010,0.03409091
743cd9a2415f4bb39e8e30c07e195bba3ecf6b8a,1010,0.034619881000000005
5253d075daeb0674c54105eb4129713fe289692a,989,0.030303031
c943faf01695e01c7cb107938bed6380e1a3842e,1001,0.03409091
e9a84f72c840264a6893590518b4326b6a23a509,1012,0.034805470000000005
c962ab0c9511ba7d870f89c4b5ef7baee8bc5b8d,990,0.036509799
dbedc937fa94dae4746b5b92753ee295782c4204,936,0.034754585000000005
81a5634efd278cc7a555a90e58f271652f35985b,1005,0.03394581
e44d098c41d535d3e367d7969560f4c9782106bc,990,0.0366393465
dbeffefa7ee9c41829e820229d94d19b398dd497,993,0.0354251
5a1f4e1bcde895bbb37f3b3ae352edf7db45cad2,1015,0.036324784
defa1876cae51be09178a7e8ec238d407c5643f3,993,0.0354251
0729f818d543b46669c2c586af381cada81f99ad,909,0.03610176
24e44a9a0b159d7b4c7463e1af7ad285a1323d53,916,0.0359240605
42bb824584404e34d0b00a690c74110c538a61bd,951,0.034454692
e3daa080b96ebe907e46c2073e16ea5dd9be9c1e,992,0.035041375
467121cc4e1a8a9919290b77366b6c51b9bad6e3,1009,0.035947714
5cc784d422221b77e4d1642b6043a11bc88313bb,1012,0.034619881000000005
10707f14acc9b34d0fd5829ee537e52f3e634bb8,950,0.034472716
81c2c58605ef010dded7547c381e86475db4553c,999,0.03423713
28cab6f44ed144a9bc4c581a71d99577bc0b3b68,1015,0.036324784
3d53a8b4b3302a15de2eb22ca05c271df06159fd,960,0.034991707999999996
19cf8c61aa1f3702ad41dd4db41d107fd2fb8c26,950,0.034472716
658f3a89586554a9af764ad349ba383c02158f0f,948,0.034754585000000005
de705cc313edbe156b39ab067db239accc3e2848,935,0.03475712
fe88a1502225c7b76488e51f5b1639a5ea318cb9,1010,0.03426311
31230778752a1e7ade97a27a284d376b44335c15,936,0.034754585000000005
fd61843a94b7e4b8d3f398d05c0dc92660246b0f,917,0.03545941
9fb72aaa747caaaa3df308a085417c7169994545,985,0.03449074
4e415bfedb4bec0a9ee216dff33f46c1435ddf4f,910,0.036742833
e4478abf2307611ba0b3d61bd68948a3a24705f7,992,0.035041375
a79e2b88b595f50c5e8b51a020a22ce1f61a5bea,958,0.034472716
3b9d22fd69efda5a528adef07d8c15e38cc1e0b9,914,0.035970659
d0e52716ba8d95f5539eae4a1041b1b48eb52866,987,0.036912754
cf1c87457fc6018d57c4b8e5df959439597e780d,912,0.035503143
85bf41787f2f3bc6cbeaa4b112a1b27a2c77f488,990,0.036648355
9cc3683bd0486846d8ef042da3a4c81e47ee189e,923,0.03475205
6113e6b4e4c2a71d4f59760f376880d53dd69fe2,917,0.035546876
cd5ac28ed84383b0c032e2f3a781c703a97fc6f5,955,0.034454692
a73aceb51e5962c9cdabcc7a0cb6dabff372dd0e,909,0.03610176
f0cc793059b2e6e529b975f8325cecf759b59066,1010,0.03416402
91d4b3dd601f4bfc0f865ae052c58fd205985f58,950,0.034472716
1421065ed8ef3eaa16f2a0028d19049853b0bf24,909,0.03610176
0f902978d6912004003d1d43f1d3b60fca2d5a30,931,0.035157546
05df4abb61ada0739dfc9b4e89d5cb14fc272458,1010,0.03416402
59a84d048512f1cb8e55b3ca2bfff20ec2b1bc45,950,0.034472716
b6aa471b52a8d0df032ce09e49c143eacc6506ab,987,0.029668117
756c2ac9e69ba74df7d7fe1dfce7826f0b848f17,987,0.029668117
d2d9df6bc1fe0ea899a3445bf054972ecd059334,1003,0.03409091
9083c15b0a669b82fecb7b466c1fd4aaf0c718db,948,0.03447025
3109ac7a9e412e3232b1fc6f8e2ced066b48bef6,1010,0.034371891
3b3472f2e96b9ec6c283c9de24b018b680fefbe3,958,0.034472716
2c4118827133aea8111f86afe34f8277af830463,1015,0.036324784
7832ed89eada44f0224a47ec27d2d9c469aa7484,950,0.034472716
e8fd449fedfabd34695aa81b6a0c519000fbc9c4,935,0.03475712
cdd6a5d2604f82247f1887de48ca459b78f3ed53,909,0.03638889
25a71cb2552d23f336f0ee9ae17801d461e67209,910,0.036742833
8d9aeea6bbc8497b8ef7faea52b8926d9b6d5e79,989,0.034454692
c2e3a60bf3addf78401e7c640f0bea51b1a3856c,1015,0.036324784
